,feature,score
4,RusherY,0.012700047649412089
24,rusher_hyp,0.012707079113069637
16,X_gapmax,0.012708269907132235
27,AvgDefenseForceY,0.012708526976152424
19,PlayId,0.012708654125876555
1,StdOffensePlayerAngleToRusher,0.012709070415132731
22,InDefenseRedzone,0.012712479090617587
2,AvgDefenseForce,0.01271293776654316
3,GameId,0.012713279172021303
17,StdDefenseY,0.012714800725092285
30,RusherWork,0.012715352971951564
10,AvgOffensePlayerAngleToRusher,0.012715686330317616
37,RusherMomentumX,0.012715690914217875
11,StdDefenseX,0.012718001914528296
9,MaxDefenseDisFromYL,0.012718527309882622
46,RusherX,0.012718584869425596
7,RusherDir,0.012718962634824065
6,YardLine,0.012719113749849917
29,StdOffenseX,0.012719196542463595
32,RusherForceY,0.012719703672639629
42,StdDefenseDir,0.012720364095223993
39,StdDefensePlayerAngleToRusher,0.01272127650840187
26,AvgOffenseA,0.012721707436957271
23,AvgDefenseForceX,0.012721783696009204
15,AvgOffenseForceX,0.012723775613904847
38,AvgDefensePlayerAngleToRusher,0.012724622586938508
43,AvgDefenseDisFromYL,0.012725233382066783
44,Y_gapmax,0.012725934372674644
40,AvgDefenseA,0.012726040497344165
28,RusherForceX,0.012727588426837239
5,AvgOffenseForce,0.01272791200158846
13,AvgDefenseDis,0.012729233889709698
18,AvgOffenseDis,0.012729465714102061
33,RusherImpulseX,0.012731246584140921
0,RusherForce,0.012734032537956718
47,RusherA,0.01273518236562859
45,AvgOffenseForceY,0.012735913943830227
21,StdOffenseY,0.012736536054785886
12,RusherSX,0.012737833464401382
20,StdOffenseDir,0.012738194825134972
41,AvgOffenseDisFromYL,0.012738816417372605
36,MinDefenseDisRusher,0.012741692287510556
14,AvgDefenseDisRusher,0.012742095300795054
31,RusherDis,0.01274289419701723
25,RusherMomentum,0.01274603832026835
34,RusherDisYL,0.012747039750544009
8,OffLessDefX,0.012752686980974209
35,RusherKE,0.012754769252960277
